protein	compound	aveaffinty
CHEMBL2001	CHEMBL598612	94
CHEMBL2001	CHEMBL568566	162
CHEMBL2001	CHEMBL603866	15
CHEMBL2001	CHEMBL566037	403.5
CHEMBL2001	CHEMBL131271	2450
CHEMBL2001	CHEMBL578102	12
CHEMBL2001	CHEMBL589554	2.4
CHEMBL2001	CHEMBL2172267	66
CHEMBL2001	CHEMBL2172284	459
CHEMBL2001	CHEMBL496820	541
CHEMBL2001	CHEMBL2172152	54
CHEMBL2001	CHEMBL496620	884
CHEMBL2001	CHEMBL590194	2.5
CHEMBL2001	CHEMBL570156	7.1
CHEMBL2001	CHEMBL567064	5.3
CHEMBL2001	CHEMBL567709	0.71
CHEMBL2001	CHEMBL446904	63
CHEMBL2001	CHEMBL1784213	380
CHEMBL2001	CHEMBL599399	15
CHEMBL2001	CHEMBL601478	1.5
CHEMBL2001	CHEMBL590140	2.1
CHEMBL2001	CHEMBL570155	1.4
CHEMBL2001	CHEMBL598376	28
CHEMBL2001	CHEMBL592882	28
CHEMBL2001	CHEMBL604288	2.4
CHEMBL2001	CHEMBL2172268	56
CHEMBL2001	CHEMBL570385	2
CHEMBL2001	CHEMBL576331	2.5
CHEMBL2001	CHEMBL549797	733
CHEMBL2001	CHEMBL601486	2
CHEMBL2001	CHEMBL2172272	7.3
CHEMBL2001	CHEMBL590001	11
CHEMBL2001	CHEMBL567913	227
CHEMBL2001	CHEMBL271672	6760
CHEMBL2001	CHEMBL498229	19740
CHEMBL2001	CHEMBL599422	112
CHEMBL2001	CHEMBL565300	7.4
CHEMBL2001	CHEMBL2172279	242
CHEMBL2001	CHEMBL590874	12
CHEMBL2001	CHEMBL2172147	71
CHEMBL2001	CHEMBL589824	2.8
CHEMBL2001	CHEMBL601487	3.3
CHEMBL2001	CHEMBL568384	4.2
CHEMBL2001	CHEMBL590418	2.7
CHEMBL2001	CHEMBL579330	2.4
CHEMBL2001	CHEMBL567883	5
CHEMBL2001	CHEMBL570388	3.6
CHEMBL2001	CHEMBL2172269	41
CHEMBL2001	CHEMBL509572	660
CHEMBL2001	CHEMBL600573	2.6
CHEMBL2001	CHEMBL2172127	23
CHEMBL2001	CHEMBL455536	24.9
CHEMBL2001	CHEMBL590745	22
CHEMBL2001	CHEMBL2172271	958
CHEMBL2001	CHEMBL540737	34
CHEMBL2001	CHEMBL565573	10
CHEMBL2001	CHEMBL2172270	105
CHEMBL2001	CHEMBL596939	69
CHEMBL2001	CHEMBL592678	2.3
CHEMBL2001	CHEMBL570263	10.2
CHEMBL2001	CHEMBL570256	2
CHEMBL2001	CHEMBL603146	13
CHEMBL2001	CHEMBL570289	1.3
CHEMBL2001	CHEMBL2172281	574
CHEMBL2001	CHEMBL590002	8
CHEMBL2001	CHEMBL601489	0.64
CHEMBL2001	CHEMBL591226	22
CHEMBL2001	CHEMBL601694	25
CHEMBL2001	CHEMBL589971	4
CHEMBL2001	CHEMBL589290	64
CHEMBL2001	CHEMBL2172148	3.1
CHEMBL2001	CHEMBL591048	2.1
CHEMBL2001	CHEMBL2172265	536
CHEMBL2001	CHEMBL2172280	249
CHEMBL2001	CHEMBL589550	54
CHEMBL2001	CHEMBL2172153	80
CHEMBL2001	CHEMBL601692	1.1
CHEMBL2001	CHEMBL559689	1190
CHEMBL2001	CHEMBL601693	12
CHEMBL2001	CHEMBL2172149	0.8
CHEMBL2001	CHEMBL597765	62
CHEMBL2001	CHEMBL569913	70
CHEMBL2001	CHEMBL591991	11
CHEMBL2001	CHEMBL569912	17
