protein	compound	aveaffinty
CHEMBL205	CHEMBL24119	149
CHEMBL205	CHEMBL1276016	623.333333333333
CHEMBL205	CHEMBL2203348	358
CHEMBL205	CHEMBL514556	79
CHEMBL205	CHEMBL175786	280
CHEMBL205	CHEMBL595	114
CHEMBL205	CHEMBL166686	23
CHEMBL205	CHEMBL283121	1.5
CHEMBL205	CHEMBL2333420	20
CHEMBL205	CHEMBL353258	9.7
CHEMBL205	CHEMBL1688313	82
CHEMBL205	CHEMBL68257	76.3
CHEMBL205	CHEMBL1817901	102
CHEMBL205	CHEMBL461600	660
CHEMBL205	CHEMBL1956769	271
CHEMBL205	CHEMBL1165118	84.5
CHEMBL205	CHEMBL1165726	105
CHEMBL205	CHEMBL372507	9200
CHEMBL205	CHEMBL1272298	500
CHEMBL205	CHEMBL1094528	98100
CHEMBL205	CHEMBL1090524	14
CHEMBL205	CHEMBL180675	185
CHEMBL205	CHEMBL1836399	5200
CHEMBL205	CHEMBL1956751	539
CHEMBL205	CHEMBL205743	46
CHEMBL205	CHEMBL2333584	690
CHEMBL205	CHEMBL183705	1.8
CHEMBL205	CHEMBL369953	645
CHEMBL205	CHEMBL1778438	12
CHEMBL205	CHEMBL187901	13
CHEMBL205	CHEMBL1778434	33
CHEMBL205	CHEMBL1778435	10
CHEMBL205	CHEMBL23285	1365
CHEMBL205	CHEMBL2323139	3100
CHEMBL205	CHEMBL1085033	10.3
CHEMBL205	CHEMBL1085034	10.2
CHEMBL205	CHEMBL1233721	245
CHEMBL205	CHEMBL198891	104
CHEMBL205	CHEMBL1083383	10.1
CHEMBL205	CHEMBL178603	14
CHEMBL205	CHEMBL180506	12
CHEMBL205	CHEMBL506247	32800
CHEMBL205	CHEMBL182135	13
CHEMBL205	CHEMBL178560	8
CHEMBL205	CHEMBL427654	9.3
CHEMBL205	CHEMBL266026	11026.3333333333
CHEMBL205	CHEMBL1762654	5850
CHEMBL205	CHEMBL410329	950
CHEMBL205	CHEMBL1092028	62.5
CHEMBL205	CHEMBL182523	258
CHEMBL205	CHEMBL1956771	6.9
CHEMBL205	CHEMBL475776	870
CHEMBL205	CHEMBL517746	330
CHEMBL205	CHEMBL1165319	76.7
CHEMBL205	CHEMBL466810	520
CHEMBL205	CHEMBL461791	265
CHEMBL205	CHEMBL191045	190
