protein	compound	aveaffinty
CHEMBL1881	CHEMBL272277	21
CHEMBL1881	CHEMBL400404	32000
CHEMBL1881	CHEMBL376282	1400
CHEMBL1881	CHEMBL251294	275.25
CHEMBL1881	CHEMBL224970	3700
CHEMBL1881	CHEMBL479263	13900
CHEMBL1881	CHEMBL2164608	4264
CHEMBL1881	CHEMBL181691	1100
CHEMBL1881	CHEMBL223744	220
CHEMBL1881	CHEMBL426559	136
CHEMBL1881	CHEMBL36817	4900
CHEMBL1881	CHEMBL565591	4169
CHEMBL1881	CHEMBL218626	750
CHEMBL1881	CHEMBL218280	8700
CHEMBL1881	CHEMBL400447	560
CHEMBL1881	CHEMBL218178	2100
CHEMBL1881	CHEMBL218179	2100
CHEMBL1881	CHEMBL376347	35
CHEMBL1881	CHEMBL479664	2300
CHEMBL1881	CHEMBL376053	860
CHEMBL1881	CHEMBL467632	12261
CHEMBL1881	CHEMBL218229	6500
CHEMBL1881	CHEMBL248678	60
CHEMBL1881	CHEMBL404199	300
CHEMBL1881	CHEMBL249952	9200
CHEMBL1881	CHEMBL271896	110
CHEMBL1881	CHEMBL222715	125
CHEMBL1881	CHEMBL249953	3070
CHEMBL1881	CHEMBL180191	1729
CHEMBL1881	CHEMBL217988	5400
CHEMBL1881	CHEMBL37853	3700
CHEMBL1881	CHEMBL219590	2500
CHEMBL1881	CHEMBL180089	4100
CHEMBL1881	CHEMBL385126	310
CHEMBL1881	CHEMBL369797	1300
CHEMBL1881	CHEMBL249136	2200
CHEMBL1881	CHEMBL248679	749
CHEMBL1881	CHEMBL398827	2030
CHEMBL1881	CHEMBL223151	4700
CHEMBL1881	CHEMBL249744	5690
CHEMBL1881	CHEMBL251504	134
CHEMBL1881	CHEMBL251709	88
CHEMBL1881	CHEMBL398947	1850
CHEMBL1881	CHEMBL183919	5400
CHEMBL1881	CHEMBL222782	75
CHEMBL1881	CHEMBL123794	8100
CHEMBL1881	CHEMBL290969	2500
CHEMBL1881	CHEMBL363800	1400
CHEMBL1881	CHEMBL250153	750
CHEMBL1881	CHEMBL404413	4410
CHEMBL1881	CHEMBL548	4.9
CHEMBL1881	CHEMBL404414	2360
CHEMBL1881	CHEMBL249342	6200
CHEMBL1881	CHEMBL249538	5450
CHEMBL1881	CHEMBL426387	410
CHEMBL1881	CHEMBL402162	1900
CHEMBL1881	CHEMBL2096894	802
CHEMBL1881	CHEMBL180752	990
CHEMBL1881	CHEMBL249540	6000
CHEMBL1881	CHEMBL249745	8340
CHEMBL1881	CHEMBL383484	230
CHEMBL1881	CHEMBL36041	6700
CHEMBL1881	CHEMBL251505	60
