protein	compound	aveaffinty
CHEMBL3227	CHEMBL239800	6.76
CHEMBL3227	CHEMBL204354	70
CHEMBL3227	CHEMBL1779863	52.85
CHEMBL3227	CHEMBL1808881	13
CHEMBL3227	CHEMBL1682826	156.3
CHEMBL3227	CHEMBL1779887	23150
CHEMBL3227	CHEMBL1290217	5200
CHEMBL3227	CHEMBL394655	1400
CHEMBL3227	CHEMBL1808880	124
CHEMBL3227	CHEMBL365797	247.5
CHEMBL3227	CHEMBL1682799	44.3
CHEMBL3227	CHEMBL372002	290
CHEMBL3227	CHEMBL1682797	117.5
CHEMBL3227	CHEMBL1779888	1379
CHEMBL3227	CHEMBL206579	6
CHEMBL3227	CHEMBL1289575	2100
CHEMBL3227	CHEMBL194051	20
CHEMBL3227	CHEMBL1808879	340
CHEMBL3227	CHEMBL1808889	610
CHEMBL3227	CHEMBL1289681	6600
CHEMBL3227	CHEMBL1808884	14
CHEMBL3227	CHEMBL1289785	5300
CHEMBL3227	CHEMBL2069395	800
CHEMBL3227	CHEMBL1682833	609.5
CHEMBL3227	CHEMBL1779850	4425.5
CHEMBL3227	CHEMBL1289348	4200
CHEMBL3227	CHEMBL362527	30
CHEMBL3227	CHEMBL1258893	60
CHEMBL3227	CHEMBL1682817	295.1
CHEMBL3227	CHEMBL427032	1500
CHEMBL3227	CHEMBL1258545	640
CHEMBL3227	CHEMBL1258544	110
CHEMBL3227	CHEMBL1779862	4098.5
CHEMBL3227	CHEMBL1779874	2631.5
CHEMBL3227	CHEMBL1808896	155
CHEMBL3227	CHEMBL1682834	713.4
CHEMBL3227	CHEMBL1682835	696
CHEMBL3227	CHEMBL2069386	1100
CHEMBL3227	CHEMBL366326	1800
CHEMBL3227	CHEMBL1682830	60.3
CHEMBL3227	CHEMBL188871	200
CHEMBL3227	CHEMBL371811	2.36
CHEMBL3227	CHEMBL188725	2500
CHEMBL3227	CHEMBL1682800	182
CHEMBL3227	CHEMBL191039	40
CHEMBL3227	CHEMBL2069392	1100
